Model; First flight; Seats; Sector; Fuel burn; Fuel efficiency per seat
Airbus A220 100; 2013; 115; 600 nmi (1100 km); 2.8 kg/km (10.1 lb/mi); 3.07 L/100 km (76.7 mpg‑US)[68]
Airbus A220 300; 2015; 140; 600 nmi (1100 km); 3.10 kg/km (11.01 lb/mi); 2.75 L/100 km (85.6 mpg‑US)[68]
Airbus A220-100; 2013; 125; 500 nmi (930 km); 2.57 kg/km (9.1 lb/mi); 2.57 L/100 km (92 mpg‑US)[69]
Airbus A220-300; 2015; 160; 500 nmi (930 km); 2.85 kg/km (10.11 lb/mi); 2.23 L/100 km (105 mpg‑US)[70]
Airbus A319neo; 2015; 144; 600 nmi (1100 km); 3.37 kg/km (11.94 lb/mi); 2.92 L/100 km (80.6 mpg‑US)[68]
Airbus A319neo; 2015; 124; 660 nmi (1220 km); 2.82 kg/km (10 lb/mi); 2.82 L/100 km (83.5 mpg‑US)[71]
Airbus A320neo; 2015; 154; 660 nmi (1220 km); 2.79 kg/km (9.9 lb/mi); 2.25 L/100 km (104.7 mpg‑US)[71]
Airbus A321neo; 2015; 192; 660 nmi (1220 km); 3.30 kg/km (11.7 lb/mi); 2.19 L/100 km (107.4 mpg‑US)[71]
Antonov An-148; 2004; 89; 684 nmi (1267 km); 2.89 kg/km (10.3 lb/mi); 4.06 L/100 km (57.9 mpg‑US)[55]
Antonov An-158; 2010; 99; 684 nmi (1267 km); 3 kg/km (11 lb/mi); 3.79 L/100 km (62.1 mpg‑US)[55]
ATR 42-600; 2010; 50; 500 nmi (930 km); 1.30 kg/km (4.6 lb/mi); 3.27 L/100 km (72 mpg‑US)[72]
ATR 72-600; 2010; 72; 500 nmi (930 km); 1.41 kg/km (5 lb/mi); 2.46 L/100 km (96 mpg‑US)[73]
Boeing 737-300; 1984; 126; 507 nmi (939 km); 3.49 kg/km (12.4 lb/mi); 3.46 L/100 km (68 mpg‑US)[74]
Boeing 737-600; 1998; 110; 500 nmi (930 km); 3.16 kg/km (11.2 lb/mi); 3.59 L/100 km (65.5 mpg‑US)[75]
Boeing 737-700; 1997; 126; 500 nmi (930 km); 3.21 kg/km (11.4 lb/mi); 3.19 L/100 km (74 mpg‑US)[75]
Boeing 737 MAX 7; 2017; 128; 660 nmi (1220 km); 2.85 kg/km (10.1 lb/mi); 2.77 L/100 km (84.8 mpg‑US)[71]
Boeing 737 MAX 7; 2017; 144; 600 nmi (1100 km); 3.39 kg/km (12.01 lb/mi); 2.93 L/100 km (80.2 mpg‑US)[68]
